inputstate,birthyr,gender,sexuality,trans,educ,votereg,race,employ,internethome,internetwork,marstat,pid3,ideo5,pew_bornagain,pew_religimp,pew_churatd,pew_prayer,religpew,child18num,newsint,faminc_new,ownhome,urbancity,immstat,cit1,unionhh,investor,assets_estimate,response_time_minutes,volunteering_index
North Carolina,1961,Female,Heterosexual / straight,No,High school graduate,Yes,White,Part-time,Broadband,,Married,Republican,Conservative,No,Very important,A few times a year,Several times a day,Roman Catholic,1,Most of the time,"$20,000 - $29,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,21196.0,9.1,0.19
Oregon,1969,Female,Lesbian / gay woman,Yes,Post-grad,Yes,White,Full-time,Broadband,Broadband,Married,Democrat,Very liberal,No,Not at all important,Never,Never,Atheist,0,Most of the time,"$40,000 - $49,999",Own,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"A member of my household was formerly a member of a labor union, but is not now",No,6010.0,8.9,0.85
Minnesota,1985,Female,Heterosexual / straight,No,Some college,Yes,White,Full-time,Broadband,Broadband,Never married,Democrat,Liberal,No,Not at all important,Seldom,Seldom,Nothing in particular,0,Most of the time,"$30,000 - $39,999",Rent,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,8077.0,1.0,0.0
Oklahoma,1987,Male,Heterosexual / straight,No,4-year,Yes,Hispanic,Full-time,Broadband,Broadband,Never married,Democrat,Liberal,No,Somewhat important,Once or twice a month,A few times a week,Roman Catholic,1,Most of the time,"$70,000 - $79,999",Own,Suburb,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",No,74295.0,6.7,0.35
Texas,1946,Female,Heterosexual / straight,No,Post-grad,Yes,Black,Retired,Broadband,,Never married,Not sure,Conservative,Yes,Very important,Once a week,Once a day,Protestant,0,Hardly at all,"$20,000 - $29,999",Rent,City,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",No,19821.0,8.0,1.1
Texas,1990,Male,Heterosexual / straight,No,High school graduate,Yes,Hispanic,Full-time,Broadband,Broadband,Never married,Democrat,Conservative,No,Very important,Never,Never,Protestant,0,Most of the time,"$50,000 - $59,999",Own,City,I am an immigrant to the USA and a naturalized citizen,Yes,"No, no one in my household has ever been a member of a labor union",Yes,48902.0,9.6,0.64
California,1982,Female,Heterosexual / straight,No,4-year,Yes,Black,Full-time,Broadband,Broadband,Never married,Independent,Moderate,No,Very important,Never,Several times a day,Something else,0,Most of the time,"$60,000 - $69,999",Rent,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,119706.0,,1.4
Nebraska,1963,Male,Heterosexual / straight,No,High school graduate,Yes,White,Full-time,Broadband,Broadband,Married,Democrat,Liberal,No,Not at all important,Never,Seldom,Nothing in particular,0,Most of the time,"$120,000 - $149,999",Own,City,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,128406.0,13.9,0.1
Florida,1933,Male,Heterosexual / straight,No,High school graduate,Yes,White,Retired,Broadband,,Married,Republican,Conservative,No,Not too important,Once a week,Seldom,Roman Catholic,0,Most of the time,"$100,000 - $119,999",Own,Suburb,My parents and I were born in the USA but at least one of my grandparents was an immigrant,Yes,"No, no one in my household has ever been a member of a labor union",Yes,96425.0,15.8,0.27
Kentucky,1988,Female,Heterosexual / straight,No,High school graduate,Yes,White,Homemaker,,,Married,Independent,Moderate,Yes,Very important,More than once a week,Several times a day,Protestant,4,Only now and then,"$40,000 - $49,999",Rent,Rural area,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",No,49672.0,19.1,2.62
Arizona,1937,Female,Heterosexual / straight,No,High school graduate,Yes,White,Retired,Broadband,,Married,Republican,Very conservative,Yes,Very important,More than once a week,Several times a day,Something else,0,Most of the time,"$60,000 - $69,999",Own,Suburb,"My parents, grandparents and I were all born in the USA",Yes,"No, no one in my household has ever been a member of a labor union",Yes,68867.0,15.9,1.22
